company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,5M–20M,Logistics provider,101–250,"Forklifts,Vans,Delivery bikes",>10,Preventive,3,1624,"Mechanical failure,Accidents,Electrical issues","None,ERP",Very familiar,Lack of internal skills,Unlikely,26–50%,Sustainability goals,10–20%,"Parts availability,Fuel efficiency analytics,Maintenance scheduling",Moderately important,3rd party tool,6–10%,Essential,"Sustainability,Cost reduction,Customer satisfaction","Higher cost, maximum reliability",Downtime hours,Yes
51–200,<1M,Logistics provider,101–250,Delivery bikes,>10,Reactive,3,1602,Battery/charging (for EVs),"WMS,TMS",Very familiar,Complexity,Likely,<10%,Regulatory compliance,>30%,"Predictive alerts,Cost–benefit analysis,Sustainability/CO₂ reports",Critical,Not tracked,2–5%,Medium,"Safety,Uptime/reliability,Cost reduction","Higher cost, maximum reliability","Emission metrics,Downtime hours,Repair costs",Maybe
>1000,5M–20M,Food & Beverage,251–500,"Forklifts,Electric vehicles (EVs),Vans,Trucks",6–10,Preventive,1,722,"Mechanical failure,Accidents,Battery/charging (for EVs)","WMS,ERP,TMS",Heard of it,Data security concerns,Likely,26–50%,Regulatory compliance,21–30%,Parts availability,Critical,Manual spreadsheet,6–10%,Low,"Uptime/reliability,Safety,Customer satisfaction","Moderate cost, high reliability","Fuel efficiency,Delivery delays",Yes
51–200,5M–20M,Other,251–500,Electric vehicles (EVs),6–10,Preventive,3,1349,"Battery/charging (for EVs),Accidents",None,Somewhat familiar,Not a priority,Unlikely,<10%,Regulatory compliance,>30%,"Real-time health scores,Fuel efficiency analytics,Parts availability",Critical,3rd party tool,6–10%,Medium,"Sustainability,Safety,Customer satisfaction","Moderate cost, high reliability",Emission metrics,Maybe
201–500,5M–20M,Logistics provider,25–100,"Delivery bikes,Electric vehicles (EVs),Forklifts",2–5,Preventive,3,924,"Tire issues,Mechanical failure",TMS,Very familiar,Not a priority,Unlikely,<10%,Regulatory compliance,10–20%,"Real-time health scores,Fuel efficiency analytics",Critical,In-house software,6–10%,Medium,"Cost reduction,Regulatory compliance,Customer satisfaction","Higher cost, maximum reliability","Repair costs,Downtime hours,Emission metrics",Maybe
501–1000,1M–5M,Other,25–100,"Electric vehicles (EVs),Trucks,Delivery bikes",6–10,Preventive,1,1276,Tire issues,"ERP,WMS,None",Very familiar,Lack of internal skills,Neutral,26–50%,Cost savings,21–30%,"Predictive alerts,Parts availability,Sustainability/CO₂ reports",Very important,In-house software,6–10%,Essential,"Sustainability,Safety,Regulatory compliance","Lower cost, moderate reliability","Downtime hours,Repair costs,Fuel efficiency,Emission metrics",Maybe
51–200,5M–20M,Logistics provider,251–500,"Trucks,Delivery bikes,Forklifts",2–5,Preventive,3,1176,Battery/charging (for EVs),WMS,Very familiar,Data security concerns,Likely,26–50%,Regulatory compliance,10–20%,Fuel efficiency analytics,Very important,In-house software,<2%,None,"Sustainability,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Repair costs,Emission metrics",Maybe
201–500,20M–100M,Retail/E-commerce,>500,"Forklifts,Electric vehicles (EVs)",2–5,Predictive,2,1709,"Tire issues,Mechanical failure",ERP,Somewhat familiar,Data security concerns,Very likely,10–25%,Regulatory compliance,10–20%,Sustainability/CO₂ reports,Critical,3rd party tool,<2%,Essential,"Regulatory compliance,Safety,Uptime/reliability","Moderate cost, high reliability","Fuel efficiency,Repair costs",Maybe
>1000,1M–5M,Logistics provider,251–500,"Trucks,Vans,Delivery bikes",2–5,Reactive,4,1066,"Tire issues,Mechanical failure,Battery/charging (for EVs)","None,WMS,ERP",Currently using,Cost,Neutral,<10%,Sustainability goals,>30%,"Fuel efficiency analytics,Cost–benefit analysis,Maintenance scheduling",Very important,In-house software,<2%,Essential,"Cost reduction,Safety,Uptime/reliability","Higher cost, maximum reliability",Repair costs,Maybe
>1000,<1M,Manufacturing,25–100,"Delivery bikes,Forklifts,Electric vehicles (EVs)",6–10,Preventive,4,1259,"Battery/charging (for EVs),Electrical issues","WMS,TMS",Heard of it,Complexity,Likely,<10%,Regulatory compliance,21–30%,Sustainability/CO₂ reports,Critical,In-house software,6–10%,None,"Cost reduction,Uptime/reliability,Sustainability","Higher cost, maximum reliability","Emission metrics,Delivery delays,Fuel efficiency",Yes
<50,<1M,Other,25–100,"Electric vehicles (EVs),Delivery bikes,Forklifts,Trucks",2–5,Preventive,3,300,"Mechanical failure,Accidents","TMS,WMS",Heard of it,Lack of internal skills,Very unlikely,26–50%,Regulatory compliance,10–20%,Sustainability/CO₂ reports,Critical,Not tracked,<2%,Essential,"Sustainability,Safety,Customer satisfaction","Moderate cost, high reliability","Downtime hours,Repair costs",Maybe
>1000,5M–20M,Manufacturing,25–100,"Forklifts,Trucks,Vans,Electric vehicles (EVs)",2–5,Preventive,4,1362,Mechanical failure,None,Very familiar,Not a priority,Very likely,>50%,Sustainability goals,21–30%,"Parts availability,Sustainability/CO₂ reports,Maintenance scheduling",Very important,Manual spreadsheet,6–10%,Medium,"Safety,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Fuel efficiency",Maybe
201–500,5M–20M,Logistics provider,101–250,"Forklifts,Vans,Electric vehicles (EVs),Trucks",2–5,Reactive,5,811,"Mechanical failure,Accidents","ERP,WMS,None",Somewhat familiar,Other,Likely,<10%,Regulatory compliance,>30%,Cost–benefit analysis,Slightly important,In-house software,2–5%,High,"Cost reduction,Uptime/reliability,Safety","Moderate cost, high reliability","Emission metrics,Downtime hours,Delivery delays,Repair costs",Yes
51–200,5M–20M,Manufacturing,25–100,"Trucks,Electric vehicles (EVs),Vans,Delivery bikes",<2,Reactive,3,441,"Battery/charging (for EVs),Electrical issues,Tire issues","None,WMS",Very familiar,Cost,Likely,26–50%,Regulatory compliance,<10%,Fuel efficiency analytics,Slightly important,3rd party tool,<2%,None,"Customer satisfaction,Cost reduction,Sustainability","Higher cost, maximum reliability","Downtime hours,Repair costs",Yes
201–500,1M–5M,Logistics provider,25–100,"Delivery bikes,Vans,Electric vehicles (EVs),Forklifts",2–5,Preventive,2,1765,"Battery/charging (for EVs),Electrical issues","TMS,ERP,None",Not familiar,Data security concerns,Unlikely,<10%,Competitive advantage,10–20%,"Sustainability/CO₂ reports,Real-time health scores,Maintenance scheduling",Slightly important,Manual spreadsheet,2–5%,Essential,"Cost reduction,Safety,Customer satisfaction","Higher cost, maximum reliability","Repair costs,Downtime hours,Emission metrics",Yes
>1000,1M–5M,Food & Beverage,251–500,"Electric vehicles (EVs),Vans",6–10,Predictive,6,1179,"Electrical issues,Mechanical failure,Battery/charging (for EVs)",ERP,Very familiar,Complexity,Very unlikely,10–25%,Cost savings,10–20%,"Cost–benefit analysis,Parts availability,Maintenance scheduling",Moderately important,3rd party tool,2–5%,High,"Safety,Regulatory compliance,Uptime/reliability","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Emission metrics",No
201–500,5M–20M,Retail/E-commerce,25–100,"Vans,Electric vehicles (EVs),Delivery bikes",6–10,Preventive,2,300,"Mechanical failure,Tire issues,Accidents","ERP,TMS",Heard of it,Not a priority,Likely,<10%,Sustainability goals,>30%,"Parts availability,Fuel efficiency analytics",Moderately important,In-house software,6–10%,Essential,"Cost reduction,Regulatory compliance,Safety","Higher cost, maximum reliability","Emission metrics,Delivery delays,Downtime hours,Repair costs",Yes
51–200,5M–20M,Logistics provider,251–500,"Forklifts,Vans,Trucks,Electric vehicles (EVs)",2–5,Preventive,2,808,"Tire issues,Accidents",None,Very familiar,Cost,Very unlikely,10–25%,Competitive advantage,10–20%,"Predictive alerts,Maintenance scheduling",Very important,Not tracked,2–5%,High,"Sustainability,Regulatory compliance,Safety","Lower cost, moderate reliability","Fuel efficiency,Downtime hours,Emission metrics,Repair costs",Maybe
201–500,>100M,Retail/E-commerce,25–100,"Electric vehicles (EVs),Forklifts",6–10,Predictive,4,1203,Electrical issues,"ERP,WMS,TMS",Not familiar,Data security concerns,Very unlikely,<10%,Uptime improvement,10–20%,Parts availability,Moderately important,In-house software,2–5%,High,"Uptime/reliability,Sustainability,Customer satisfaction","Moderate cost, high reliability","Fuel efficiency,Repair costs,Downtime hours",Yes
51–200,1M–5M,Manufacturing,25–100,Vans,6–10,Reactive,1,1217,Mechanical failure,WMS,Somewhat familiar,Not a priority,Unlikely,26–50%,Uptime improvement,21–30%,Parts availability,Critical,Manual spreadsheet,>10%,Low,"Cost reduction,Customer satisfaction,Regulatory compliance","Lower cost, moderate reliability","Fuel efficiency,Delivery delays,Downtime hours,Emission metrics",Yes
<50,5M–20M,Logistics provider,25–100,"Forklifts,Trucks,Delivery bikes",2–5,Predictive,0,950,Accidents,"ERP,None,TMS",Very familiar,Not a priority,Very unlikely,10–25%,Cost savings,21–30%,"Real-time health scores,Predictive alerts",Moderately important,3rd party tool,2–5%,Low,"Safety,Uptime/reliability,Sustainability","Lower cost, moderate reliability",Delivery delays,Yes
<50,5M–20M,Manufacturing,101–250,Vans,6–10,Preventive,4,300,"Accidents,Tire issues","None,WMS",Somewhat familiar,Data security concerns,Likely,10–25%,Uptime improvement,>30%,"Fuel efficiency analytics,Maintenance scheduling,Cost–benefit analysis",Critical,Manual spreadsheet,2–5%,Medium,"Customer satisfaction,Sustainability,Safety","Moderate cost, high reliability","Delivery delays,Downtime hours",No
<50,5M–20M,Logistics provider,<25,"Delivery bikes,Forklifts,Vans",>10,Preventive,4,924,"Accidents,Mechanical failure",TMS,Heard of it,Data security concerns,Neutral,26–50%,Cost savings,21–30%,"Real-time health scores,Fuel efficiency analytics,Parts availability",Slightly important,Not tracked,6–10%,Essential,"Safety,Customer satisfaction,Sustainability","Higher cost, maximum reliability","Emission metrics,Delivery delays,Repair costs",Yes
51–200,5M–20M,Manufacturing,25–100,"Delivery bikes,Vans,Electric vehicles (EVs),Trucks",2–5,Predictive,2,1736,"Mechanical failure,Accidents,Tire issues","None,ERP,WMS",Somewhat familiar,Lack of internal skills,Unlikely,10–25%,Uptime improvement,21–30%,Real-time health scores,Very important,3rd party tool,<2%,Low,"Uptime/reliability,Regulatory compliance,Safety","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Emission metrics,Downtime hours",Yes
<50,5M–20M,Food & Beverage,>500,"Trucks,Electric vehicles (EVs),Delivery bikes",2–5,Predictive,0,1901,"Mechanical failure,Accidents,Electrical issues","WMS,TMS",Very familiar,Not a priority,Neutral,<10%,Uptime improvement,>30%,Fuel efficiency analytics,Very important,Not tracked,2–5%,Essential,"Sustainability,Cost reduction,Uptime/reliability","Moderate cost, high reliability",Repair costs,Maybe
201–500,>100M,Food & Beverage,<25,"Vans,Delivery bikes",>10,Predictive,3,896,"Electrical issues,Accidents","None,ERP,WMS",Heard of it,Data security concerns,Likely,10–25%,Competitive advantage,10–20%,"Real-time health scores,Cost–benefit analysis,Maintenance scheduling",Very important,In-house software,2–5%,Essential,"Safety,Sustainability,Cost reduction","Lower cost, moderate reliability","Delivery delays,Repair costs",Maybe
51–200,1M–5M,Retail/E-commerce,101–250,Electric vehicles (EVs),6–10,Reactive,6,2142,"Battery/charging (for EVs),Electrical issues,Accidents",WMS,Heard of it,Other,Very likely,26–50%,Uptime improvement,10–20%,Maintenance scheduling,Very important,Not tracked,2–5%,Medium,"Uptime/reliability,Cost reduction,Customer satisfaction","Moderate cost, high reliability",Repair costs,Maybe
51–200,1M–5M,Retail/E-commerce,101–250,"Vans,Electric vehicles (EVs)",2–5,Predictive,4,391,Mechanical failure,"None,TMS",Heard of it,Other,Neutral,10–25%,Cost savings,21–30%,Maintenance scheduling,Slightly important,In-house software,<2%,Medium,"Customer satisfaction,Sustainability,Safety","Moderate cost, high reliability",Emission metrics,No
>1000,5M–20M,Logistics provider,25–100,"Forklifts,Trucks",6–10,Predictive,3,795,Electrical issues,"WMS,ERP",Currently using,Cost,Likely,<10%,Regulatory compliance,>30%,Predictive alerts,Moderately important,Manual spreadsheet,<2%,Essential,"Safety,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Emission metrics,Downtime hours",Maybe
201–500,5M–20M,Manufacturing,101–250,Forklifts,2–5,Preventive,1,1646,Tire issues,"WMS,ERP",Somewhat familiar,Complexity,Unlikely,10–25%,Regulatory compliance,21–30%,"Real-time health scores,Maintenance scheduling",Moderately important,Manual spreadsheet,2–5%,Low,"Uptime/reliability,Regulatory compliance,Sustainability","Moderate cost, high reliability",Fuel efficiency,Maybe
201–500,1M–5M,Logistics provider,25–100,Forklifts,6–10,Reactive,4,1567,Tire issues,WMS,Not familiar,Other,Neutral,>50%,Regulatory compliance,10–20%,"Predictive alerts,Real-time health scores,Fuel efficiency analytics",Moderately important,3rd party tool,<2%,Medium,"Safety,Customer satisfaction,Cost reduction","Moderate cost, high reliability",Emission metrics,Maybe
51–200,<1M,Retail/E-commerce,101–250,"Forklifts,Vans",2–5,Reactive,4,1195,"Battery/charging (for EVs),Mechanical failure,Accidents","ERP,None",Very familiar,Lack of internal skills,Likely,<10%,Cost savings,>30%,"Fuel efficiency analytics,Maintenance scheduling",Very important,Not tracked,<2%,None,"Regulatory compliance,Sustainability,Cost reduction","Moderate cost, high reliability","Repair costs,Emission metrics,Downtime hours,Delivery delays",Yes
51–200,<1M,Logistics provider,25–100,"Electric vehicles (EVs),Delivery bikes",2–5,Predictive,2,640,Mechanical failure,"None,ERP,TMS",Very familiar,Data security concerns,Neutral,10–25%,Cost savings,21–30%,"Predictive alerts,Cost–benefit analysis",Very important,Manual spreadsheet,<2%,Essential,"Regulatory compliance,Safety,Cost reduction","Moderate cost, high reliability","Downtime hours,Delivery delays",Yes
<50,20M–100M,Logistics provider,101–250,"Delivery bikes,Vans",6–10,Preventive,7,639,"Accidents,Electrical issues,Tire issues","TMS,WMS,ERP",Not familiar,Complexity,Neutral,10–25%,Regulatory compliance,>30%,"Cost–benefit analysis,Parts availability",Critical,Not tracked,2–5%,High,"Cost reduction,Uptime/reliability,Sustainability","Lower cost, moderate reliability","Downtime hours,Fuel efficiency,Emission metrics,Delivery delays",Yes
51–200,1M–5M,Manufacturing,<25,"Forklifts,Electric vehicles (EVs)",2–5,Preventive,2,837,"Electrical issues,Tire issues,Battery/charging (for EVs)",TMS,Currently using,Lack of internal skills,Likely,<10%,Uptime improvement,>30%,"Maintenance scheduling,Real-time health scores,Parts availability",Critical,Not tracked,<2%,Medium,"Sustainability,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Repair costs,Emission metrics,Fuel efficiency",Maybe
51–200,1M–5M,Logistics provider,101–250,"Delivery bikes,Trucks,Electric vehicles (EVs)",2–5,Preventive,4,661,"Mechanical failure,Accidents,Battery/charging (for EVs)","WMS,None,ERP",Somewhat familiar,Not a priority,Very likely,10–25%,Regulatory compliance,10–20%,"Parts availability,Predictive alerts",Moderately important,In-house software,6–10%,Medium,"Safety,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Repair costs,Downtime hours,Delivery delays,Emission metrics",No
51–200,1M–5M,Manufacturing,25–100,"Forklifts,Trucks",6–10,Preventive,1,1265,"Accidents,Mechanical failure,Tire issues",WMS,Somewhat familiar,Complexity,Very likely,>50%,Sustainability goals,>30%,Maintenance scheduling,Not important,3rd party tool,>10%,Medium,"Customer satisfaction,Uptime/reliability,Sustainability","Moderate cost, high reliability","Downtime hours,Fuel efficiency,Emission metrics,Repair costs",Yes
<50,1M–5M,Logistics provider,25–100,"Trucks,Delivery bikes",6–10,Preventive,3,1154,Accidents,"TMS,None",Somewhat familiar,Other,Likely,<10%,Cost savings,10–20%,Predictive alerts,Very important,Manual spreadsheet,6–10%,None,"Safety,Uptime/reliability,Cost reduction","Moderate cost, high reliability","Delivery delays,Downtime hours",No
